지역,구분,이름,SBS,KBS2,KBS1,EBS,MBC,SBS(U),KBS2(U),KBS1(U),MBC(U),주소
부산,송신소,황령산,S15,16,14,18,17,S53,56,52,55,부산 연제구 연산2동 산181-3
울산,송신소,무룡산,S30,40,28,48,34,S39,56,49,29,울산 북구 어물동 산195-3
경남,송신소,불모산,S33,25,22,32,26,,,,,경남 창원시 성산구 천선동 산213-8
경남,송신소,망진산,S19,23,20,31,21,,,,,경남 진주시 봉수대길 116-23
경남,중계소,감악산,S36,35,28,37,50,,,,,경남 거창군 신원면 구사리 산12-1
부산,중계소,녹산,S24,42,38,48,,,,,,부산 강서구 녹산동 산2-27
부산,중계소,기장,S33,41,32,36,35,,,,,부산 기장군 일광읍 삼성리 산 41
부산,중계소,정관,S20,23,21,24,22,,,,,부산 기장군 정관읍 달산리 산146-14
울산,중계소,문수산,S32,25,26,51,22,,,,,울산 울주군 청량읍 율리 산339
울산,중계소,미포,S43,44,42,46,45,,,,,울산 동구 동부동 산190
경남,중계소,양산타워,S36,,,,31,,,,,경남 양산시 동면 석산리 656-30
경남,중계소,하북,,23,35,41,,,,,,경남 양산시 하북면 초산리 산7-6
경남,송신소,금오산,,35,28,37,50,,,,,경남 하동군 금남면 금오산길 796
경남,중계소,망운산,S38,46,44,24,16,,,,,경남 남해군 서면 연죽리 산38
